Ref,Val,Package,PosX,PosY,Rot,Side
"C1","100n","C_0805_2012Metric",-77.978000,-84.023200,90.000000,bottom
"J1","Conn_01x10_Female","PinHeader_1x10_P1.27mm_Vertical",-87.500000,-76.900000,180.000000,bottom
"J2","Micro_SD_Card","Micro SD",-81.305100,-94.329400,0.000000,bottom
"R1","10K","R_0805_2012Metric",-84.683600,-87.223600,-90.000000,bottom
"R2","10K","R_0805_2012Metric",-82.854800,-87.223600,-90.000000,bottom
"R3","10K","R_0805_2012Metric",-79.806800,-87.223600,-90.000000,bottom
"R4","10K","R_0805_2012Metric",-77.978000,-87.223600,-90.000000,bottom
"C2","10u","C_0805_2012Metric",80.416400,-99.669600,-90.000000,top
"D1","LED","LED_0805_2012Metric",75.073200,-99.669600,90.000000,top
"R5","68R","R_0805_2012Metric",77.673200,-99.669600,90.000000,top
"SW1","On","SW_SPDT_PCM12",91.700000,-101.200000,90.000000,top
"U1","ESP32-WROOM-32U","ESP32-WROOM-32U",83.250000,-85.750000,0.000000,top
